UPS Ground Commercial,lbs,2,3,4,5,6,7,8,44,45,46
Pkg Per Pkg,1,10.7,10.7,10.7,10.7,10.7,10.7,10.7,27.76,28.09,36.57
Pkg Per Pkg,2,10.7,10.7,10.7,10.7,10.7,11.07,11.26,30.88,31.46,39.68
Pkg Per Pkg,3,10.7,10.7,10.7,10.87,11.32,11.69,12.27,33.56,35.85,42.26
Pkg Per Pkg,4,10.7,10.7,10.88,11.58,11.79,12.56,13.15,36.85,38.22,45.84
Pkg Per Pkg,5,10.7,10.7,11.04,11.98,12.46,13.14,14.06,39.95,41.48,48.76
Pkg Per Pkg,6,10.7,10.7,11.25,12.14,12.59,13.15,14.07,43.11,44.19,50.63
Pkg Per Pkg,7,10.7,10.7,11.55,12.54,12.82,13.5,14.59,46.02,47.58,53.22
Pkg Per Pkg,8,10.7,10.79,11.88,12.89,13.21,14.18,15.23,47.82,50.05,56.14
Pkg Per Pkg,9,10.7,10.84,11.89,12.9,13.49,14.63,15.89,51.19,53.52,59.49
Pkg Per Pkg,10,10.7,11.05,12.12,13.32,13.78,15.32,17.09,54.39,58.14,62.69
Pkg Per Pkg,11,10.7,10.7,11.66,12.71,13.31,15.67,17.15,54.09,58.1,61.98
Pkg Per Pkg,12,10.7,11.09,11.77,12.82,13.78,16.42,17.82,56.41,60.24,64.26
Pkg Per Pkg,13,10.7,11.12,11.82,12.97,14.21,17.35,18.68,58.75,62.44,66.56
Pkg Per Pkg,14,10.82,11.44,12.02,13.39,15.03,18.66,20.21,61.19,64.87,68.97
Pkg Per Pkg,15,10.83,11.59,12.2,13.76,15.86,19.1,21.15,63.44,67.8,71.19
Pkg Per Pkg,16,11.1,12.02,12.42,14.1,16.5,20.25,22.08,66.27,70.62,74.02
Pkg Per Pkg,17,11.18,12.27,12.55,14.5,17.07,21.13,22.2,69.1,74.01,76.36
Pkg Per Pkg,18,11.29,12.45,12.68,15.19,17.97,21.93,23.94,71.96,78.4,79.18
Pkg Per Pkg,19,11.57,13.02,13.29,15.86,18.42,22.35,25.11,74.8,80.92,82.01
Pkg Per Pkg,20,11.57,13.02,13.3,16.36,19.05,23.18,26.0,77.3,83.86,84.47
Pkg Per Pkg,21,12.06,13.53,14.01,16.67,19.78,23.99,26.79,79.07,87.71,86.24
Pkg Per Pkg,22,12.07,13.76,14.5,17.24,20.58,24.87,27.97,81.55,91.07,88.71
Pkg Per Pkg,23,12.08,13.93,14.8,17.44,21.37,25.47,29.08,84.0,94.39,91.16
Pkg Per Pkg,24,12.51,14.6,15.59,18.5,22.55,26.33,30.74,86.76,97.85,93.91
Pkg Per Pkg,25,12.54,14.65,15.65,18.73,23.03,27.78,31.69,89.45,101.27,96.61
Pkg Per Pkg,26,13.15,15.16,16.31,19.5,23.87,28.91,33.0,92.28,103.89,99.65
Pkg Per Pkg,27,13.52,15.52,16.63,19.82,24.83,29.45,33.55,94.84,107.31,102.27
Pkg Per Pkg,28,13.83,15.89,17.27,20.94,26.04,30.77,34.84,97.38,110.78,104.82
Pkg Per Pkg,29,13.84,16.19,17.54,20.98,26.79,31.47,35.77,99.78,113.51,106.95
Pkg Per Pkg,30,13.98,16.59,18.2,21.81,27.22,31.63,37.25,102.17,117.08,109.37
Pkg Per Pkg,31,13.77,15.97,17.53,20.83,26.23,30.87,36.18,96.17,112.94,102.99
Pkg Per Pkg,32,13.77,15.98,17.54,20.84,26.37,30.88,36.58,96.5,116.56,103.21
Pkg Per Pkg,33,13.82,16.22,18.32,21.82,27.88,31.9,37.57,98.52,119.6,105.27
Pkg Per Pkg,34,13.83,16.58,18.91,22.58,28.03,32.85,39.37,100.73,122.8,107.44
Pkg Per Pkg,35,14.09,17.33,19.38,22.95,28.51,33.7,39.65,103.23,126.1,109.93
Pkg Per Pkg,36,14.3,17.47,19.69,23.82,29.71,34.84,41.2,105.43,129.09,112.35
Pkg Per Pkg,37,14.62,17.7,19.99,24.17,29.84,35.97,41.61,107.85,132.37,114.82
Pkg Per Pkg,38,14.73,17.97,20.52,24.75,30.52,36.11,42.38,110.43,135.48,117.4
Pkg Per Pkg,39,15.34,18.67,21.39,25.57,31.73,37.53,43.25,112.81,138.64,119.58
Pkg Per Pkg,40,15.35,18.75,21.4,25.62,31.95,37.54,43.26,115.22,141.44,121.93
Pkg Per Pkg,41,15.7,19.55,22.02,26.49,33.24,38.69,45.12,117.21,144.49,124.17
Pkg Per Pkg,42,15.71,19.62,22.87,26.52,33.43,39.35,45.13,119.42,147.8,126.38
Pkg Per Pkg,43,16.0,19.9,22.91,27.92,35.24,40.78,46.36,121.86,150.66,128.81
Pkg Per Pkg,44,16.24,20.2,23.49,28.42,35.35,41.82,46.84,123.6,153.52,131.28
Pkg Per Pkg,45,16.25,20.21,23.5,28.44,35.46,42.87,47.16,125.98,155.85,133.68
Pkg Per Pkg,46,16.71,20.42,24.26,29.12,36.39,43.33,48.42,128.41,159.6,136.13
Pkg Per Pkg,47,16.73,20.88,24.65,29.33,36.91,44.17,49.2,130.87,162.63,138.57
